date,home_team,away_team,home_win,runs_scored_diff,runs_allowed_diff,season_run_diff_diff,recent_win_pct_diff,rest_days_diff
2026-04-07,San Francisco Giants,Philadelphia Phillies,1,-1.472727272727273,-0.581818181818182,-2.0545454545454547,-0.3,0
2026-04-08,Pittsburgh Pirates,San Diego Padres,0,1.272727272727273,0.5454545454545454,1.8181818181818181,0.19999999999999996,0
2026-04-08,Cleveland Guardians,Kansas City Royals,1,-0.9090909090909092,0.856060606060606,-0.05303030303030304,0.09999999999999998,0
2026-04-08,Boston Red Sox,Milwaukee Brewers,1,-2.818181818181818,-1.272727272727273,-4.090909090909091,-0.49999999999999994,0
2026-04-08,Chicago White Sox,Baltimore Orioles,0,-0.18181818181818166,-1.7272727272727275,-1.9090909090909092,0.0,0
2026-04-08,Texas Rangers,Seattle Mariners,1,0.3939393939393936,-0.2954545454545454,0.0984848484848485,0.3,0
2026-04-08,Toronto Blue Jays,Los Angeles Dodgers,1,-3.181818181818182,-2.0909090909090904,-5.2727272727272725,-0.5,0
2026-04-08,Colorado Rockies,Houston Astros,1,-2.5,1.9318181818181817,-0.5681818181818181,-0.09999999999999998,0
2026-04-08,San Francisco Giants,Philadelphia Phillies,1,-0.8181818181818183,-0.022727272727272485,-0.8409090909090909,-0.09999999999999998,0
2026-04-08,Washington Nationals,St. Louis Cardinals,0,1.6636363636363631,-1.5454545454545459,0.11818181818181817,-0.3,0
2026-04-08,Los Angeles Angels,Atlanta Braves,0,-0.75,-2.0,-2.75,-0.09999999999999998,0
2026-04-08,New York Mets,Arizona Diamondbacks,0,1.3636363636363638,1.9090909090909092,3.272727272727273,0.09999999999999998,0
2026-04-08,Tampa Bay Rays,Chicago Cubs,0,0.2727272727272725,-1.9090909090909092,-1.6363636363636362,0.0,0
2026-04-08,Miami Marlins,Cincinnati Reds,1,1.6363636363636367,-1.4545454545454541,0.1818181818181818,-0.30000000000000004,0
2026-04-08,New York Yankees,Athletics,0,0.9000000000000004,3.2,4.1,0.5,0
2026-04-08,Minnesota Twins,Detroit Tigers,1,0.854545454545454,-0.3636363636363633,0.49090909090909096,0.2,0
2026-04-09,Miami Marlins,Cincinnati Reds,1,1.7500000000000004,-1.0833333333333335,0.6666666666666666,-0.19999999999999996,0
